SUBID	MPQ1	MPQ2	MPQ3	MPQ4	MPQ5	MPQ6	MPQ7	MPQ8	MPQ9	MPQ10	MPQ11	MPQ12	MPQ13	MPQ14	MPQ15	MPQ16	MPQ17	MPQ18	MPQ19	MPQ20	MPQ21	MPQ22	MPQ23	MPQ24	MPQ25	MPQ26	MPQ27	MPQ28	MPQ29	MPQ30	MPQ31	MPQ32	MPQ33	MPQ34	MPQ35	MPQ36	MPQ37	MPQ38	MPQ39	MPQ40	MPQ41	MPQ42	MPQ43	MPQ44	MPQ45	MPQ46	MPQ47	MPQ48	MPQ49	MPQ50	MPQ51	MPQ52	MPQ53	MPQ54	MPQ55	MPQ56	MPQ57	MPQ58	MPQ59	MPQ60	MPQ61	MPQ62	MPQ63	MPQ64	MPQ65	MPQ66	MPQ67	MPQ68	MPQ69	MPQ70	MPQ71	MPQ72	MPQ73	MPQ74	MPQ75	MPQ76	MPQ77	MPQ78	MPQ79	MPQ80	MPQ81	MPQ82	MPQ83	MPQ84	MPQ85	MPQ86	MPQ87	MPQ88	MPQ89	MPQ90	MPQ91	MPQ92	MPQ93	MPQ94	MPQ95	MPQ96	MPQ97	MPQ98	MPQ99	MPQ100	MPQ101	MPQ102	MPQ103	MPQ104	MPQ105	MPQ106	MPQ107	MPQ108	MPQ109	MPQ110	MPQ111	MPQ112	MPQ113	MPQ114	MPQ115	MPQ116	MPQ117	MPQ118	MPQ119	MPQ120	MPQ121	MPQ122	MPQ123	MPQ124	MPQ125	MPQ126	MPQ127	MPQ128	MPQ129	MPQ130	MPQ131	MPQ132	MPQ133	MPQ134	MPQ135	MPQ136	MPQ137	MPQ138	MPQ139	MPQ140	MPQ141	MPQ142	MPQ143	MPQ144	MPQ145	MPQ146	MPQ147	MPQ148	MPQ149	MPQ150	MPQ151	MPQ152	MPQ153	MPQ154	MPQ155
11	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0
12	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0
13	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1
14	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1
15	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0	1	1
16	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0
17	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0
18	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0
19	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1
20	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	1	1
